Reference, Value, Footprint, Datasheet, digikey, notes, additional parts, specs
"J1","UpperLeft","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J2","MiddleLeft","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J3","LowerLeft","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J5","UpperRight","Pin_Headers:Pin_Header_Straight_1x10_Pitch2.54mm",""
"J6","MiddleRight","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J7","LowerRight","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J4","Bottom","Pin_Headers:Pin_Header_Straight_2x18_Pitch2.54mm",""
"SN2","SN754410","Housings_DIP:DIP-16_W7.62mm","DOCUMENTATION","296-9911-5-ND","","",""
"SN1","SN754410","Housings_DIP:DIP-16_W7.62mm","DOCUMENTATION","296-9911-5-ND","","",""
"R3","10K","Resistors_SMD:R_0603","","","P50PD","",""
"R4","10K","Resistors_SMD:R_0603","","","P52PD","",""
"R7","10K","Resistors_SMD:R_0603","","","P48PD","",""
"R8","10K","Resistors_SMD:R_0603","","","P46PD","",""
"R2","10K","Resistors_SMD:R_0603","","","P30PD","",""
"R1","10K","Resistors_SMD:R_0603","","","P28PD","",""
"R5","10K","Resistors_SMD:R_0603","","","P26PD","",""
"R6","10K","Resistors_SMD:R_0603","","","P24PD","",""
"J9","P23","additional_connectors:BNC_right_angle","","A97555-ND","","",""
"J22","P49","additional_connectors:Connectors_JST_B2B-PH-K","","455-1704-ND","","SPH-002T-P0.5S (455-1127-1-ND), PHR-2 (455-1165-ND)",""
"J23","P51","additional_connectors:Connectors_JST_B2B-PH-K","","455-1704-ND","","SPH-002T-P0.5S (455-1127-1-ND), PHR-2 (455-1165-ND)",""
"J19","P41","additional_connectors:Connectors_JST_B2B-PH-K","","455-1704-ND","","SPH-002T-P0.5S (455-1127-1-ND), PHR-2 (455-1165-ND)",""
