Reference, Value, Footprint, Datasheet, digikey, notes, specs, additional parts, digikey_alt, additional_parts
"Q1","QRE1113","additional_devices:QRE1113","DOCUMENTATION","QRE1113GRCT-ND","","","","",""
"Q2","QRE1113","additional_devices:QRE1113","DOCUMENTATION","QRE1113GRCT-ND","","","","",""
"R5","10K","Resistors_SMD:R_0603",""
"R1","100","Resistors_SMD:R_1206","","","optional","1/5W","","",""
"U1","LM358","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","","296-13455-1-ND","","","","",""
"U5","LM393","Housings_SSOP:TSSOP-8_4.4x3mm_Pitch0.65mm","","497-7818-1-ND","","","","",""
"R25","S3","Resistors_SMD:R_0603","","","see http://www.random-science-tools.com/electronics/inverting-schmitt-trigger-calculator.htm","33K 1%, lowT: 0.5V, highT: 1.5V, VRef: 5V, highOutV: 5, lowOutV: 0","","",""
"R18","S2","Resistors_SMD:R_0603","","","see http://www.random-science-tools.com/electronics/inverting-schmitt-trigger-calculator.htm","10K 1%, lowT: 0.5V, highT: 1.5V, VRef: 5V, highOutV: 5, lowOutV: 0","","",""
"R17","S1","Resistors_SMD:R_0603","","","see http://www.random-science-tools.com/electronics/inverting-schmitt-trigger-calculator.htm","68K 1%, lowT: 0.5V, highT: 1.5V, VRef: 5V, highOutV: 5, lowOutV: 0","","",""
"C1","10nF","Capacitors_SMD:C_0603","","","","X5R, X7R, 10V minimum","","",""
"C5","1uF","Capacitors_SMD:C_0603","","","","X5R, X7R, 10V minimum","","",""
"P1","TESTPWR","Pin_Headers:Pin_Header_Straight_2x01","","","for testing, optional","","","",""
"R6","10K","Resistors_SMD:R_0603",""
"R2","100","Resistors_SMD:R_1206","","","optional","1/5W","","",""
"R19","S1","Resistors_SMD:R_0603","","","see http://www.random-science-tools.com/electronics/inverting-schmitt-trigger-calculator.htm","68K 1%, lowT: 0.5V, highT: 1.5V, VRef: 5V, highOutV: 5, lowOutV: 0","","",""
"R20","S2","Resistors_SMD:R_0603","","","see http://www.random-science-tools.com/electronics/inverting-schmitt-trigger-calculator.htm","10K 1%, lowT: 0.5V, highT: 1.5V, VRef: 5V, highOutV: 5, lowOutV: 0","","",""
