Reference,Value,Footprint,Datasheet,additional parts,digikey,digikey_alt,Manufacturer Part Number,specs
FID1,Fiducial,Fiducials:Fiducial_0.5mm_Dia_1mm_Outer,~,,,,,
FID2,Fiducial,Fiducials:Fiducial_0.5mm_Dia_1mm_Outer,~,,,,,
FID3,Fiducial,Fiducials:Fiducial_0.5mm_Dia_1mm_Outer,~,,,,,
FID4,Fiducial,Fiducials:Fiducial_0.5mm_Dia_1mm_Outer,~,,,,,
FID5,Fiducial,Fiducials:Fiducial_0.5mm_Dia_1mm_Outer,~,,,,,
FID6,Fiducial,Fiducials:Fiducial_0.5mm_Dia_1mm_Outer,~,,,,,
J1,NANO_L,Pin_Headers:Pin_Header_Straight_1x15_Pitch2.54mm,~,,,,,
J2,NANO_R,Pin_Headers:Pin_Header_Straight_1x15_Pitch2.54mm,~,,,,,
J3,ENCL,Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm,~,,,,,
J4,ENCR,Pin_Headers:Pin_Header_Straight_2x05_Pitch2.54mm,~,,,,,
J6,SPIOut,additional_connectors:USB3_A_vertical_molex,https://www.molex.com/pdm_docs/sd/484080003_sd.pdf,,WM10421-ND,,484080003,
J7,PWR,Connectors:USB_Micro-B,https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf,,609-4618-1-ND,,10118194-0001LF,
J8,RESET,additional_connectors:Connectors_JST_B2B-PH-K,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,"SPH-002T-P0.5S (455-1127-1-ND), PHR-2 (455-1165-ND)",455-1704-ND,455-1719-ND,"B2B-PH-K-S, S2B-PH-K-S",
J10,LAP RESET,additional_connectors:Connectors_JST_B4B-PH-K,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,"SPH-002T-P0.5S (455-1127-1-ND), PHR-4 (455-1164-ND)",455-1706-ND,455-1721-ND,"B4B-PH-K-S, S4B-PH-K-S",
J11,ENCODER,additional_connectors:Connectors_JST_B4B-PH-K,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,"SPH-002T-P0.5S (455-1127-1-ND), PHR-4 (455-1164-ND)",455-1706-ND,455-1721-ND,"B4B-PH-K-S, S4B-PH-K-S",
R1,100K,Resistors_SMD:R_0603,~,,,,,SMD 0603
R2,100K,Resistors_SMD:R_0603,~,,,,,SMD 0603
R3,100K,Resistors_SMD:R_0603,~,,,,,SMD 0603
R4,100K,Resistors_SMD:R_0603,~,,,,,SMD 0603
R5,100K,Resistors_SMD:R_0603,~,,,,,SMD 0603
RIMP1,1K,Resistors_SMD:R_0603,~,,,,,SMD 0603
TAc1,Ac,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,,,,,
TAcXBn1,AcXBn,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,,,,,
TAn1,An,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,,,,,
TAnXBc1,AnXBc,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,,,,,
TBc1,Bc,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,,,,,
TBn1,Bn,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,,,,,
TCLK1,CLK,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,,,,,
TDN1,DOWN,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,,,,,
TLatch1,latch,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,,,,,
TPGND1,GND,Measurement_Points:Measurement_Point_Round-TH_Big,~,,,,,
TRead1,read,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,,,,,
TUP1,UP,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,~,,,,,
